0.5570f, 0.2611f, 0.0f,
0.1781f, -0.2461f, 0.0f,
-0.4158f, -0.0267f, 0.0f,
-0.3738f, 0.6051f, 0.0f,
0.2439f, 0.7440f, 0.0f,
0.5524f, 0.1911f, 0.0f,
0.1096f, -0.2615f, 0.0f,
-0.4500f, 0.0346f, 0.0f,
-0.3247f, 0.6552f, 0.0f,
0.3059f, 0.7112f, 0.0f,
0.5385f, 0.1223f, 0.0f,
0.0398f, -0.2677f, 0.0f,
-0.4757f, 0.0999f, 0.0f,
-0.2695f, 0.6985f, 0.0f,
0.3631f, 0.6705f, 0.0f,
0.5156f, 0.0560f, 0.0f,
-0.0303f, -0.2646f, 0.0f,
-0.4927f, 0.1680f, 0.0f,
-0.2090f, 0.7340f, 0.0f,
0.4143f, 0.6225f, 0.0f,
0.4842f, -0.0068f, 0.0f,
-0.0994f, -0.2523f, 0.0f,
-0.5004f, 0.2377f, 0.0f,
-0.1443f, 0.7612f, 0.0f,
0.4587f, 0.5682f, 0.0f,
0.4447f, -0.0648f, 0.0f,
-0.1662f, -0.2309f, 0.0f,
-0.4988f, 0.3078f, 0.0f,
-0.0766f, 0.7796f, 0.0f,
0.4956f, 0.5085f, 0.0f,
0.3979f, -0.1170f, 0.0f,
-0.2296f, -0.2009f, 0.0f,
-0.4880f, 0.3772f, 0.0f,
-0.0070f, 0.7889f, 0.0f,
0.5242f, 0.4445f, 0.0f,
0.3446f, -0.1627f, 0.0f,
-0.2885f, -0.1627f, 0.0f,
-0.4681f, 0.4444f, 0.0f,
0.0631f, 0.7889f, 0.0f,
0.5441f, 0.3772f, 0.0f,
0.2858f, -0.2008f, 0.0f,
-0.3418f, -0.1171f, 0.0f,
-0.4395f, 0.5085f, 0.0f,
0.1327f, 0.7796f, 0.0f,
0.5550f, 0.3079f, 0.0f,
0.2224f, -0.2309f, 0.0f,
-0.3886f, -0.0648f, 0.0f,
-0.4026f, 0.5682f, 0.0f,
0.2004f, 0.7612f, 0.0f,
0.5565f, 0.2377f, 0.0f,
0.1555f, -0.2523f, 0.0f,
-0.4281f, -0.0068f, 0.0f,
-0.3582f, 0.6225f, 0.0f,
0.2651f, 0.7340f, 0.0f,
0.5488f, 0.1680f, 0.0f,
0.0865f, -0.2646f, 0.0f,
-0.4595f, 0.0560f, 0.0f,
-0.3070f, 0.6705f, 0.0f,
0.3256f, 0.6985f, 0.0f,
0.5319f, 0.0999f, 0.0f,
0.0164f, -0.2677f, 0.0f,
-0.4824f, 0.1223f, 0.0f,
-0.2498f, 0.7112f, 0.0f,
0.3808f, 0.6552f, 0.0f,
0.5061f, 0.0346f, 0.0f,
-0.0535f, -0.2615f, 0.0f,
-0.4963f, 0.1911f, 0.0f,
-0.1878f, 0.7440f, 0.0f,
0.4299f, 0.6051f, 0.0f,
0.4719f, -0.0267f, 0.0f,
-0.1220f, -0.2461f, 0.0f,
-0.5009f, 0.2611f, 0.0f,
